scenario,scenario_label,target,stage,model,metric,train_mean,cv_mean,cv_std,gap,n_features,best_params
full,Completo,principal,default,logistic_balanced,recall,0.8214272620966467,0.8048373179026445,0.023371449120345358,0.016589944194002282,35,{}
full,Completo,principal,default,logistic_balanced,f1,0.797007274052223,0.779721531538169,0.014432127721427612,0.017285742514054014,35,{}
full,Completo,principal,default,logistic_balanced,f2,0.8114656940406176,0.7945024622432687,0.01813760594532606,0.016963231797348932,35,{}
full,Completo,principal,default,logistic_balanced,roc_auc,0.9226985361960335,0.9110605630869658,0.009632031376790366,0.011637973109067667,35,{}
full,Completo,principal,default,random_forest,accuracy,1.0,0.8662832873000156,0.01032941113797272,0.13371671269998442,35,{}
full,Completo,principal,default,random_forest,precision,1.0,0.8403637743939161,0.020377799565272893,0.15963622560608393,35,{}
full,Completo,principal,default,random_forest,recall,1.0,0.7213034871326329,0.0362409705675176,0.2786965128673671,35,{}
full,Completo,principal,default,random_forest,f1,1.0,0.7755695212504938,0.021101724658008324,0.22443047874950617,35,{}
full,Completo,principal,default,random_forest,f2,1.0,0.741932953057924,0.030269632232107418,0.25806704694207605,35,{}
full,Completo,principal,default,random_forest,roc_auc,1.0,0.9090441329294741,0.01116899843467777,0.09095586707052594,35,{}
full,Completo,principal,default,random_forest_balanced,accuracy,1.0,0.8617609046849758,0.010394591426962016,0.1382390953150242,35,{}
full,Completo,principal,default,random_forest_balanced,precision,1.0,0.8398902134356703,0.01764661752430561,0.16010978656432973,35,{}
full,Completo,principal,default,random_forest_balanced,recall,1.0,0.7042028323435358,0.037304829537905315,0.29579716765646424,35,{}
full,Completo,principal,default,random_forest_balanced,f1,1.0,0.7653845461656978,0.02223645588835026,0.23461545383430216,35,{}
full,Completo,principal,default,random_forest_balanced,f2,1.0,0.7273324232146295,0.03160229001472745,0.27266757678537046,35,{}
full,Completo,principal,default,random_forest_balanced,roc_auc,1.0,0.9069741814714302,0.012188828468664963,0.09302581852856984,35,{}
full,Completo,principal,default,hist_gradient_boosting,accuracy,0.9886144451408532,0.8649934858512689,0.011037110831116399,0.12362095928958428,35,{}
full,Completo,principal,default,hist_gradient_boosting,precision,0.9956076956451325,0.8408475346053228,0.015336648912340467,0.15476016103980972,35,{}
full,Completo,principal,default,hist_gradient_boosting,recall,0.9688151449069246,0.7152885640322826,0.04091678124236104,0.25352658087464197,35,{}
full,Completo,principal,default,hist_gradient_boosting,f1,0.9820165123599811,0.7722472160112243,0.02431334955217503,0.20976929634875685,35,{}
full,Completo,principal,default,hist_gradient_boosting,f2,0.9740500540325641,0.7368899684176503,0.03470300112952013,0.23716008561491375,35,{}
full,Completo,principal,default,hist_gradient_boosting,roc_auc,0.999626389753445,0.906359290944927,0.007537655645319192,0.09326709880851802,35,{}
full,Completo,principal,tuned,dummy_prior,accuracy,0.6789405666216428,0.6789405388503831,0.0006273622935212724,2.7771259736297793e-08,35,{}
full,Completo,principal,tuned,dummy_prior,precision,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,tuned,dummy_prior,recall,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,tuned,dummy_prior,f1,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,tuned,dummy_prior,f2,0.0,0.0,0.0,0.0,35,{}
full,Completo,principal,tuned,dummy_prior,roc_auc,0.5,0.5,0.0,0.0,35,{}
full,Completo,principal,tuned,logistic,accuracy,0.8779073779253788,0.8669305331179322,0.009476250691902496,0.01097684480744654,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic,precision,0.8684397672252013,0.8455494035067929,0.013920881054144752,0.02289036371840847,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic,recall,0.7303839954489427,0.7163138926958023,0.022409707457154586,0.014070102753140468,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic,f1,0.7934163344271634,0.7754781098677405,0.01763634639822895,0.017938224559422955,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic,f2,0.7543490416494075,0.7388418562700532,0.02057602349064582,0.01550718537935436,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic,roc_auc,0.9219318714830239,0.9105373014038671,0.010526995521813565,0.011394570079156785,35,"{""model__C"": ""10.0""}"
full,Completo,principal,tuned,logistic_balanced,accuracy,0.8656331953487431,0.8540080254312368,0.009892535027740328,0.011625169917506284,35,"{""model__C"": ""1.0""}"
full,Completo,principal,tuned,logistic_balanced,precision,0.7741144657687759,0.756820435737289,0.020830293495207142,0.017294030031486884,35,"{""model__C"": ""1.0""}"
full,Completo,principal,tuned,logistic_balanced,recall,0.8214272620966467,0.8048373179026445,0.023371449120345358,0.016589944194002282,35,"{""model__C"": ""1.0""}"
full,Completo,principal,tuned,logistic_balanced,f1,0.797007274052223,0.779721531538169,0.014432127721427612,0.017285742514054014,35,"{""model__C"": ""1.0""}"
full,Completo,principal,tuned,logistic_balanced,f2,0.8114656940406176,0.7945024622432687,0.01813760594532606,0.016963231797348932,35,"{""model__C"": ""1.0""}"
full,Completo,principal,tuned,logistic_balanced,roc_auc,0.9226985361960335,0.9110605630869658,0.009632031376790366,0.011637973109067667,35,"{""model__C"": ""1.0""}"
